idiom,definition
absence makes the heart grow fonder,One feels more love or affection for those one loves when parted from them.
a chain is only as strong as its weakest link,An organization is only as strong or powerful as its weakest person; a group of associates is only as strong as its laziest member.
actions speak louder than words,It is more effective to act directly than to speak of action.
all cats are grey in the dark,Sex is enjoyable regardless of the physical attractiveness or social station of one's partner.
all that glitters is not gold,Things that appear valuable or worthwhile might not actually be so; things that appear nice might not be as good as they appear.
any press is good press,"Being mentioned in the media, even in the context of a scandal or controversy, is beneficial to the subject because it brings publicity."
a penny saved is a penny earned,"A maxim for thrift stating that money not spent may be spent later, or may earn interest in the meantime."
appearances are deceptive,It is not possible to judge a person's character from their outward appearance.
a revolution is not a dinner party,"In order to achieve something, courtesy, long-held norms, and other such formalities must be dropped."
better late than never,"It is better to do something late, than to never do it at all."
clothes don't make the man,You cannot accurately judge a person solely by appearances.
clothes maketh the man,A person's appearances count for a lot.
"early to bed, early to rise, makes a man healthy, wealthy and wise",A person who goes to bed early and wakes up early will lead a more successful life.
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,It is more worthwhile to teach someone to do something (for themselves) than to do it for them (on an ongoing basis).
heaven helps those who help themselves,A maxim encouraging people to attempt to solve their own problems.
hindsight is 20/20,"In hindsight things are obvious that were not obvious from the outset; one is able to evaluate past choices more clearly than at the time of the choice."
"if it ain't broke, don't fix it","It is wise to leave something alone and to avoid attempting to correct, fix, or improve what is already sufficient (often with an implication that the attempted improvement is risky and might backfire)."
"if you lie down with dogs, you get up with fleas",Spending time with undesirable individuals will cause one to acquire their undesirable traits.
ignorance is bliss,A lack of knowledge results in happiness; it is more comfortable to not know certain things.
"it's not the size of the ship, it's the motion of the ocean","In sexual activity, the size of the penis is less important than the way it is moved."
leave well enough alone,"To leave something alone; to avoid trying to correct, fix, or improve what is already adequate."
"live by the sword, die by the sword",One who uses violence can expect a violent response; it is better to try to use peaceful means wherever possible.
measure twice and cut once,"One should double-check one's measurements for accuracy before cutting a piece of wood; otherwise it may be necessary to cut again, wasting time and material."
never change a running system,Do not change something while it is working (because there is a risk of breaking it).
"one for all, all for one","Each individual should act for the benefit of the group, and the group should act for the benefit of each individual."
size matters,"Used to assert the opinion that sexual partners prefer men with larger penises, or that penis size has an effect on the quality of an act of intercourse."
twenty-twenty hindsight,Perfect understanding of events only after they have happened.
age like a fine wine,To age well; to look or become better as one becomes older.
age like milk,"To age very badly; to look bad in hindsight, or after time has passed."
all over someone like a rash,"Giving someone an excessive amount of attention, especially romantic or sexual attention."
all over the place like a mad woman's custard,Moving about randomly.
a nod's as good as a wink to a blind bat,The idea/proposed action is inconsequential to the current situation.
as all get-out,Extremely; to a superlative degree; very much.
as all hell,To a great extent or degree; very.
as anything,To a great degree or extent; very.
as balls,To a great extent or degree; very.
as fast as one's legs could carry one,At top speed (running on foot); as fast as possible.
as fuck,"To a great extent or degree; very, extremely, incredibly."
as good as new,"In a very good condition or state, especially after being damaged or used much."
as heck,Euphemistic form of as hell.
as hell,To a great extent or degree; very.
as large as life,Actually present.
as much use as a chocolate fireguard,Useless; pointless.
as much use as a chocolate teapot,Thoroughly useless.
as nervous as a witch,Very nervous or restless.
as one man,In a unified manner.
as shit,To a great extent or degree; very
as the day is long,Unceasingly; very; thoroughly; to a very high degree.
as the next girl,To a reasonable degree; as much as a typical woman.
as the next guy,To a reasonable degree; as much as a typical person or man.
avoid like the plague,"To evade or shun, if at all possible."
a woman without a man is like a fish without a bicycle,A woman is capable of living a complete and independent life without a man.
bald as a billiard ball,Completely bald; having no hair at all.
bald as a bladder of lard,Completely bald; having no hair at all.
bald as a coot,Totally bald; without any hair on one's head.
bent as a nine-bob note,Extremely dishonest or criminally-minded.
better than sex,Superlative; wonderful.
big as a barn,Very big.
big as a house,Very large.
big as bull-beef,Very big.
black as a dog's guts,Utterly black; pitch-black.
black as coal,Completely black.
black as night,Utterly black; pitch-black.
black as tar,Completely black.
black as the ace of spades,Utterly black; pitch-black.
black as thunder,Very black .
black as your hat,Thoroughly black in color.
bleed like a stuck pig,to bleed profusely
blind as a bat,"Nearly totally blind, having a very poor sense of vision"
bold as brass,Very bold; very forward or impudent.
boring as beans,Very boring; devoid of interest.
brave as a lion,Very brave; courageous
breed like rabbits,"To breed very rapidly, to have many children"
bright as a button,Very intelligent.
brown as a berry,Very brown.
built like a brick shithouse,"Having a muscular body, particularly with well-developed muscles of the chest, arms and abdominals."
built like a tank,"Broad-shouldered and of solid, muscular build."
busy as a beaver,Very busy.
busy as a bee,Very active; working constantly.
busy as a dyke in a hardware store,Extremely busy.
busy as a nailer,working constantly.
busy as a one-armed paper hanger,Extremely busy.
calm as a millpond,"Very calm, not choppy."
change like seasons,"To change quickly, inevitably, and without a rationale."
charge like a wounded bull,To charge exorbitant prices.
cheap as chips,"Very cheap, not costing much."
cheap like borscht,Very inexpensive.
chirpy as a cricket,Very chirpy; full of energy; very energetic.
clean as a bean,Very clean.
clean as a hound's tooth,Very clean; very innocent.
clean as a new penny,Extremely clean.
clean as a new pin,Very clean.
clean as a whistle,Very clean
clear as a bell,Totally clear; distinct and unmistakeable.
clear as a mirror,Totally clear; visibly distinct.
clear as crystal,Entirely transparent.
clear as day,Quite clear.
clear as mud,Unclear; difficult or impossible to understand or interpret.
close as wax,"miserly, tight, or secretive"
cold as a mackerel,"Very cold (in temperature, emotionally, etc.)."
cold as a wagon tire,Dead.
cold as a well-digger's arse,Very cold.
cold as a witch's kiss,Very cold.
cold as a witch's tit,Very cold.
cold as balls,Very cold.
cold as charity,"Very cold, whether in temperature or in demeanour."
cold as death,Very cold.
cold as ice,Very cold.
comfortable as an old shoe,Comfortably familiar.
common as bums,Very common or mundane (in various senses).
common as dirt,Extremely common.
common as muck,Very common (in various senses).
common as pig tracks,Very common or frequently encountered; not at all rare.
conceited as a barber's cat,Very conceited.
cool as a cucumber,Calm and composed even in difficult or frustrating situations; self-possessed.
cracked as an egg,Utterly crazy or insane.
crazy as a bedbug,Utterly mad; insane.
crazy as a cootie,Completely crazy; insane.
crazy as a cootie bug,Completely crazy; insane.
crazy as a shithouse rat,Thoroughly crazy.
crazy as a soup sandwich,Utterly senseless or insane.
crazy like a fox,"Behaving in a foolish, frivolous, or uncomprehending manner as a ruse for concealing clever deeds or deeper intentions."
crooked as a barrel of fish hooks,Very unscrupulous and deceptive.
crooked as a barrel of snakes,Very untrustworthy.
crooked as a dog's hind leg,very unscrupulous and deceptive
cross as two sticks,Particularly ill-natured and disagreeable.
cry like a baby,To bawl unabashedly and pitifully.
cry like a little girl,To bawl unabashedly and pitifully.
crystal clear,Completely clear (in various senses).
cute as a bug in a rug,Very cute.
cute as a bug's ear,Very cute; adorable.
cute as a button,Very cute.
cute as a pin,Very cute.
cute as a speckled pup,Very cute; adorable.
cut like a knife,"To sting severely, to cause a sensation of stinging, especially said of cold weather."
daft as a brush,Tending to do or say silly things.
dandy as candy,Perfectly fine or good.
dark as the inside of a cow,Extremely dark; pitch-black.
dead as a dodo,Undoubtedly and unquestionably dead.
dead as a doorknob,"Entirely, unquestionably or certainly dead."
dead as a doornail,Unquestionably dead. Used for both inanimate objects and once living beings.
dead as a herring,Utterly dead.
dead as a kipper,Utterly dead.
dead as a mackerel,Utterly dead.
dead as ditch-water,Unquestionably dead.
deader than disco,Unquestionably dead.
deaf as a doorknob,Stone deaf. (unable to hear at all)
deaf as a doornail,Completely deaf.
deaf as a doorpost,Stone deaf. (unable to hear at all)
deaf as a post,Stone deaf. (unable to hear at all)
demure as a whore at a christening,Utterly demure.
done up like a dog's dinner,Dressed in an  ostentatious or overly formal manner.
done up like a kipper,cheated or exploited; treated unfairly
